赛事咪咕,#genre#
咪咕直播 𝟙𝟡「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000009788/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟘「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000010833/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000011297/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000012558/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000012616/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015470/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015560/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000017678/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000017678&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000019839/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟡「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000021904/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟘「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000023434/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000025380/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000027691/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000031669/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011519/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011520/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011521/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播38「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011522/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989
赛事咪视界4k,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000005180&/PLTV/&$32M UHD
赛事至臻视界,http://cdn6.bkpcp.top/itv/yditv.php?Contentid=3000000010000015686&/PLTV/&$32M UHD

央卫咪咕,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
CCTV-01咪咕,http://j.s.bkpcp.top/jj/cctv1
CCTV-02咪咕,http://j.s.bkpcp.top/jj/cctv2
CCTV-03咪咕,http://j.s.bkpcp.top/jj/cctv3
CCTV-04咪咕,http://j.s.bkpcp.top/jj/cctv4
CCTV-05咪咕,http://j.s.bkpcp.top/jj/cctv5
CCTV-5+咪咕,http://j.s.bkpcp.top/jj/cctv5p
CCTV-06咪咕,http://j.s.bkpcp.top/jj/cctv6
CCTV-07咪咕,http://j.s.bkpcp.top/jj/cctv7
CCTV-08咪咕,http://j.s.bkpcp.top/jj/cctv8
CCTV-09咪咕,http://j.s.bkpcp.top/jj/cctv9
CCTV-10咪咕,http://j.s.bkpcp.top/jj/cctv10
CCTV-11咪咕,http://j.s.bkpcp.top/jj/cctv11
CCTV-12咪咕,http://j.s.bkpcp.top/jj/cctv12
CCTV-13咪咕,http://j.s.bkpcp.top/jj/cctv13
CCTV-14咪咕,http://j.s.bkpcp.top/jj/cctv14
CCTV-15咪咕,http://j.s.bkpcp.top/jj/cctv15
CCTV-16咪咕,http://j.s.bkpcp.top/jj/cctv16
CCTV-17咪咕,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲咪咕,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲咪咕,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西咪咕,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿咪咕,http://j.s.bkpcp.top/jj/cgtna
CGTN-法咪咕,http://j.s.bkpcp.top/jj/cgtnf
北京卫视咪咕,http://j.s.bkpcp.top/jj/bjws
东方卫视咪咕,http://j.s.bkpcp.top/jj/dfws
浙江卫视咪咕,http://j.s.bkpcp.top/jj/zjws
江苏卫视咪咕,http://j.s.bkpcp.top/jj/jsws
湖南卫视咪咕,http://j.s.bkpcp.top/jj/hunws
广东卫视咪咕,http://j.s.bkpcp.top/jj/gdws
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws
山东卫视咪咕,http://j.s.bkpcp.top/jj/sdws
河南卫视咪咕,http://j.s.bkpcp.top/jj/hnws
江西卫视咪咕,http://j.s.bkpcp.top/jj/jxws
湖北卫视咪咕,http://j.s.bkpcp.top/jj/hubws
海南卫视咪咕,http://j.s.bkpcp.top/jj/hinws
陕西卫视咪咕,http://j.s.bkpcp.top/jj/sxws
兵团卫视咪咕,http://j.s.bkpcp.top/jj/btws
黑龙江视咪咕,http://j.s.bkpcp.top/jj/hljws
CCTV-01咪咕,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02咪咕,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03咪咕,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04咪咕,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+咪咕,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06咪咕,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07咪咕,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08咪咕,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09咪咕,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10咪咕,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11咪咕,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12咪咕,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13咪咕,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14咪咕,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15咪咕,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16咪咕,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17咪咕,http://t.061899.xyz/tl/tl.php?id=cctv17
北京卫视咪咕,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视咪咕,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视咪咕,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视咪咕,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视咪咕,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视咪咕,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视咪咕,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视咪咕,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视咪咕,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=nxws
陕西卫视咪咕,http://t.061899.xyz/tl/tl.php?id=sxws
甘肃卫视咪咕,http://t.061899.xyz/tl/tl.php?id=gsws
新疆卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视咪咕,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视咪咕,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视咪咕,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视咪咕,http://t.061899.xyz/tl/tl.php?id=hljws

央卫频临,#genre#
CCTV-01频临,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02频临,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03频临,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04频临,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05频临,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+频临,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06频临,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07频临,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08频临,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09频临,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10频临,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11频临,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12频临,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13频临,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14频临,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15频临,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16频临,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17频临,http://t.061899.xyz/tl/tl.php?id=cctv17
北京卫视频临,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视频临,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视频临,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视频临,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视频临,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视频临,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视频临,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视频临,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视频临,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视频临,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视频临,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视频临,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视频临,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视频临,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视频临,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视频临,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视频临,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视频临,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视频临,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视频临,http://t.061899.xyz/tl/tl.php?id=gxws
湾区卫视频临,http://t.061899.xyz/tl/tl.php?id=dwqws
云南卫视频临,http://t.061899.xyz/tl/tl.php?id=ynws
东南卫视频临,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视频临,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视频临,http://t.061899.xyz/tl/tl.php?id=qhws
甘肃卫视频临,http://t.061899.xyz/tl/tl.php?id=gsws
陕西卫视频临,http://t.061899.xyz/tl/tl.php?id=sxws
宁夏卫视频临,http://t.061899.xyz/tl/tl.php?id=nxws
新疆卫视频临,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视频临,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视频临,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视频临,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视频临,http://t.061899.xyz/tl/tl.php?id=hljws

欣赏频道,#genre#

中天新闻国推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmagztxwkks.flv
tvbs闽南国推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmagtvbskks.flv
Now爆谷国推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanow02kks.flv
Now星影国推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanow01kks.flv
无线功夫国推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidatvb01kks.flv
无线生活粤推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidatvb02kks.flv
东森电影粤推,https://mgzb-al-pull.migucloud.com/live/11-DG3KbBkLFoQ2xa891LtDDtcmFXfFTO6jkI4l5cwDlx4yb2sqZvavl8Hv38pu8hjfAUTT.flv
龙祥电影粤推,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanlzzlkks.flv
龙祥时代粤推,https://mgzb-al-pull.migucloud.com/live/14-gGAp79CiuLbnBIesOxVTWJOzTSGk6TZFkDEZXuBffapZ7F379LBMnYNSf25YiCgaTVUG.flv

Plus综合实时,http://vallest.uk/livehttpplay?channel_id=30023
凤凰中文实时,http://vallest.uk/livehttpplay?channel_id=30014
凤凰资讯实时,http://vallest.uk/livehttpplay?channel_id=30015
凤凰香港实时,http://vallest.uk/livehttpplay?channel_id=30016
中天新闻实时,http://test-al-livepull.migucloud.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmagztxwkks.flv
中天新闻实时,http://156.238.248.80/smt.php?id=ctinews
中天新闻实时,http://tlive24.uk/livehttpplay?channel_id=20163
有线新闻实时,http://iptv.4666888.xyz/iptv2A.php?id=HOY78
有线新闻实时,http://hls.168.us.kg/u/78/master.m3u8
有线新闻实时,http://xtvantsc.xyz/Smart.php?id=hoycaijing_twn
无线新闻实时,http://vallest.uk/livehttpplay?channel_id=30024
有线综合实时,http://vallest.uk/livehttpplay?channel_id=20152
无线翡翠实时,http://vallest.uk/livehttpplay?channel_id=20124
无线明珠实时,http://vallest.uk/livehttpplay?channel_id=30026
RTHK-31实时,http://vallest.uk/livehttpplay?channel_id=30066
RTHK-32实时,http://vallest.uk/livehttpplay?channel_id=30067
VIUTV粤实时,http://vallest.uk/livehttpplay?channel_id=30032
VIUTV英实时,http://vallest.uk/livehttpplay?channel_id=30033

特闽风云,#genre#
澳视澳门风云,http://iptv.4666888.xyz/iptv2A.php?id=澳視澳門
凤凰中文风云,http://iptv.4666888.xyz/iptv2A.php?id=鳳凰中文
有线新闻风云,http://iptv.4666888.xyz/iptv2A.php?id=HOY78
无线华丽风云,http://iptv.4666888.xyz/iptv2A.php?id=TVB翡翠(馬來)
无线明珠风云,http://iptv.4666888.xyz/iptv2A.php?id=TVB明珠
无线奖门风云,http://iptv.4666888.xyz/iptv2A.php?id=TVB-獎門人
无线翡剧风云,http://iptv.4666888.xyz/iptv2A.php?id=TVB翡翠劇集
无线一台风云,http://iptv.4666888.xyz/iptv2A.php?id=TVB1
美亚电影风云,http://iptv.4666888.xyz/iptv2A.php?id=美亚电影(粵)
黄金华剧风云,http://iptv.4666888.xyz/iptv2A.php?id=MYTV黃金華劇
Now华剧风云,http://iptv.4666888.xyz/iptv2A.php?id=Now華劇台
RTHK-31风云,http://iptv.4666888.xyz/iptv2A.php?id=RTHK31
tvbs新闻风云,http://iptv.4666888.xyz/iptv2A.php?id=TVBS新聞
纬来电影风云,http://iptv.4666888.xyz/iptv2A.php?id=緯來電影
靖天电影风云,http://iptv.4666888.xyz/iptv2A.php?id=靖天電影
经典电影风云,http://iptv.4666888.xyz/iptv2A.php?id=經典電影台
龙华洋片风云,http://iptv.4666888.xyz/iptv2A.php?id=龍華洋片
东森洋片风云,http://iptv.4666888.xyz/iptv2A.php?id=東森洋片
猪哥亮秀风云,http://iptv.4666888.xyz/iptv2A.php?id=豬哥亮歌廳秀
非凡商业风云,http://iptv.4666888.xyz/iptv2A.php?id=非凡直播
华艺中文风云,http://iptv.4666888.xyz/iptv2A.php?id=華藝中文
博运动壹风云,http://iptv.4666888.xyz/iptv2A.php?id=博斯運動1
时尚运动风云,http://iptv.4666888.xyz/iptv2A.php?id=時尚運動X
韩国娱乐风云,http://iptv.4666888.xyz/iptv2A.php?id=韓國娛樂
BBcearth风云,http://iptv.4666888.xyz/iptv2A.php?id=BBC_Earth
央视十六风云,http://iptv.4666888.xyz/iptv2A.php?id=MYTV黃金翡翠

欣赏频道2,#genre#
凤凰中文频高,http://bxtv.3a.ink/api.php?id=fhzw
凤凰资讯频高,http://bxtv.3a.ink/api.php?id=fhzx
凤凰香港频高,http://bxtv.3a.ink/api.php?id=fhhk
凤凰中文频高,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯频高,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港频高,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
中天新闻频道,rtmp://123.161.179.74/live/yifatv-ztxw01
中天新闻加道,rtmp://123.161.179.74/live/yifatv-ztxw02
中天新闻频道,http://tlive24.uk/livehttpplay?channel_id=20163
中天新闻频道,http://bxtv.3a.ink/api.php?id=ztxw
有线新闻频道,http://api.mg.itv888.cn:8080/hls/5e12ccd9191/index.m3u8
无线新闻频道,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
无线新闻频道,http://bxtv.3a.ink/api.php?id=wxxw
Now新闻频道,http://bxtv.3a.ink/api.php?id=now
Now新闻频道,http://cdn.163189.xyz/163189/now
pₒₚc电影频道,http://tl.061833.xyz/tl/popc
pₒₚc电影频道,http://bxtv.3a.ink/api.php?id=popc
pₒₚc电影频流,http://tl.061833.xyz/tl/popc
Plus综合频流,http://tl.061833.xyz/tl/pluse
无线新闻频流,http://tl.061833.xyz/tl/null-11
无线翡翠频流,http://tl.061833.xyz/tl/null
无线明珠频流,http://tl.061833.xyz/tl/null-12
无线娱乐频流,http://tl.061833.xyz/tl/null-14
无线经典频流,http://tl.061833.xyz/tl/null-3
无线综合频流,http://tl.061833.xyz/tl/mytvsuperfree
无线戏曲频流,http://tl.061833.xyz/tl/null-15
无线粤片频流,http://tl.061833.xyz/tl/null-10
无线亚剧频流,http://tl.061833.xyz/tl/null-13 
无线华剧频流,http://tl.061833.xyz/tl/null-4 
无线少儿频流,http://tl.061833.xyz/tl/superkidschannel
