
欣赏Pdtv,#genre#
龙华电影Pdtv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典Pdtv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像Pdtv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩Pdtv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧Pdtv,http://rihou.cc:555/tv/[Pd]龙华戏剧
八度空间Pdtv,http://rihou.cc:555/tv/[Pd]八度空间
CHU综合Pdtv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合Pdtv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合Pdtv,http://rihou.cc:555/tv/[Pd]CH8综合
astroaodPdtv,http://rihou.cc:555/tv/[Pd]astroaod
Astr欢喜Pdtv,http://rihou.cc:555/tv/[Pd]Astr欢喜

闽南4Gtv,#genre#
中天新闻4gtv,http://rihou.cc:555/tv/[4g]中天新闻
寰宇新闻4gtv,http://rihou.cc:555/tv/[4g]寰宇新闻
东森新闻4gtv,http://rihou.cc:555/tv/[4g]东森新闻
tvbs新闻4gtv,http://rihou.cc:555/tv/[4g]tvbs新闻
三立新闻4gtv,http://rihou.cc:555/tv/[4g]三立新闻
闽镜新闻4gtv,http://rihou.cc:555/tv/[4g]闽镜新闻
中视新闻4gtv,http://rihou.cc:555/tv/[4g]中视新闻
民视新闻4gtv,http://rihou.cc:555/tv/[4g]民视新闻
华视新闻4gtv,http://rihou.cc:555/tv/[4g]华视新闻
中视闽南4gtv,http://rihou.cc:555/tv/[4g]中视闽南
民视闽南4gtv,http://rihou.cc:555/tv/[4g]民视闽南
华视闽南4gtv,http://rihou.cc:555/tv/[4g]华视闽南
寰宇闽南4gtv,http://rihou.cc:555/tv/[4g]寰宇闽南
tvbs闽南4gtv,http://rihou.cc:555/tv/[4g]tvbs闽南
tvbs精采4gtv,http://rihou.cc:555/tv/[4g]tvbs精采
tvbs欢乐4gtv,http://rihou.cc:555/tv/[4g]tvbs欢乐
公视戏剧4gtv,http://rihou.cc:555/tv/[4g]公视戏剧
民视第一4gtv,http://rihou.cc:555/tv/[4g]民视第一
民视闽语4gtv,http://rihou.cc:555/tv/[4g]民视闽语
民视综艺4gtv,http://rihou.cc:555/tv/[4g]民视综艺
东森财经4gtv,http://rihou.cc:555/tv/[4g]东森财经
三立综合4gtv,http://rihou.cc:555/tv/[4g]三立综合
靖洋戏剧4gtv,http://rihou.cc:555/tv/[4g]靖洋戏剧
靖洋卡通4gtv,http://rihou.cc:555/tv/[4g]靖洋卡通
靖天卡通4gtv,http://rihou.cc:555/tv/[4g]靖天卡通
靖天综合4gtv,http://rihou.cc:555/tv/[4g]靖天综合
靖天日本4gtv,http://rihou.cc:555/tv/[4g]靖天日本
靖天育乐4gtv,http://rihou.cc:555/tv/[4g]靖天育乐
靖天国际4gtv,http://rihou.cc:555/tv/[4g]靖天国际
靖天欢乐4gtv,http://rihou.cc:555/tv/[4g]靖天欢乐
靖天资讯4gtv,http://rihou.cc:555/tv/[4g]靖天资讯
靖天戏剧4gtv,http://rihou.cc:555/tv/[4g]靖天戏剧
靖天映画4gtv,http://rihou.cc:555/tv/[4g]靖天映画
靖天电影4gtv,http://rihou.cc:555/tv/[4g]靖天电影
amc电影4gtv,http://rihou.cc:555/tv/[4g]amc电影
经典电影4gtv,http://rihou.cc:555/tv/[4g]经典电影
大爱电视4gtv,http://rihou.cc:555/tv/[4g]大爱电视
人间卫视4gtv,http://rihou.cc:555/tv/[4g]人间卫视
猪哥亮秀4gtv,http://rihou.cc:555/tv/[4g]猪哥亮秀
客家电视4gtv,http://rihou.cc:555/tv/[4g]客家电视
原住民族4gtv,http://rihou.cc:555/tv/[4g]原住民族
互动英语4gtv,http://rihou.cc:555/tv/[4g]互动英语
金光布袋4gtv,http://rihou.cc:555/tv/[4g]金光布袋
Nick儿童4gtv,http://rihou.cc:555/tv/[4g]Nick儿童
MO_亲子4gtv,http://rihou.cc:555/tv/[4g]MO-亲子
经典卡通4gtv,http://rihou.cc:555/tv/[4g]经典卡通
精选动漫4gtv,http://rihou.cc:555/tv/[4g]精选动漫


央卫咪咕,#genre#
CCTV-01咪咕,http://175.17.83.114:1234/608807420
CCTV-02咪咕,http://175.17.83.114:1234/631780532
CCTV-03咪咕,http://175.17.83.114:1234/624878271
CCTV-04咪咕,http://175.17.83.114:1234/631780421
CCTV-05咪咕,http://175.17.83.114:1234/641886683
CCTV-5+咪咕,http://175.17.83.114:1234/641886773
CCTV-06咪咕,http://175.17.83.114:1234/624878396
CCTV-07咪咕,http://175.17.83.114:1234/673168121
CCTV-08咪咕,http://175.17.83.114:1234/624878356
CCTV-09咪咕,http://175.17.83.114:1234/673168140
CCTV-10咪咕,http://175.17.83.114:1234/624878405
CCTV-11咪咕,http://175.17.83.114:1234/667987558
CCTV-12咪咕,http://175.17.83.114:1234/673168185
CCTV-13咪咕,http://175.17.83.114:1234/608807423
CCTV-14咪咕,http://175.17.83.114:1234/624878440
CCTV-15咪咕,http://175.17.83.114:1234/673168223
CCTV-16咪咕,http://58.255.201.70:10443/tsfile/live/1001_1.m3u8
CCTV-17咪咕,http://175.17.83.114:1234/673168256
cct4欧洲咪咕,http://175.17.83.114:1234/608807419
cct4美洲咪咕,http://175.17.83.114:1234/608807416
CGTN-西咪咕,http://175.17.83.114:1234/609006450
CGTN-阿咪咕,http://175.17.83.114:1234/609154345
CGTN-法咪咕,http://175.17.83.114:1234/609006476
北京卫视咪咕,http://175.17.83.114:1234/630287636
东方卫视咪咕,http://175.17.83.114:1234/651632648
浙江卫视咪咕,http://175.17.83.114:1234/651632648
江苏卫视咪咕,http://175.17.83.114:1234/623899368
湖南卫视咪咕,http://175.17.83.114:1234/623899368
广东卫视咪咕,http://175.17.83.114:1234/608831231
深圳卫视咪咕,http://175.17.83.114:1234/608831231
山东卫视咪咕,http://175.17.83.114:1234/790187291
河南卫视咪咕,http://175.17.83.114:1234/790187291
江西卫视咪咕,http://175.17.83.114:1234/783847495
湖北卫视咪咕,http://175.17.83.114:1234/947472496
海南卫视咪咕,http://175.17.83.114:1234/947472502
陕西卫视咪咕,http://175.17.83.114:1234/738910838
兵团卫视咪咕,http://175.17.83.114:1234/956923145
黑龙江视咪咕,http://175.17.83.114:1234/738906901

特闽新闻,#genre#

有线新闻欣赏,http://rihou.cc:555/tv/[Pd]有线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Pd]无线新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Hk]Now新闻
中天新闻欣赏,http://rihou.cc:555/tv/[SZ]中天新闻
中天新闻欣赏,http://rihou.cc:555/tv/[Hv]中天新聞
中天新闻欣赏,http://rihou.cc:555/tv/[Us]中天新闻
中天新闻欣赏,http://rihou.cc:555/tv/[Bx]中天新闻
寰宇新闻欣赏,http://rihou.cc:555/tv/[Hk]寰宇新闻
东森新闻欣赏,http://rihou.cc:555/tv/[Hk]东森新闻
中视新闻欣赏,http://rihou.cc:555/tv/[Hk]中视新闻
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新聞
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新闻
台视新闻欣赏,http://rihou.cc:555/tv/[Hk]台视新闻
年代新闻欣赏,http://rihou.cc:555/tv/[Hk]年代新闻
非凡新闻欣赏,http://rihou.cc:555/tv/[Hk]非凡新闻
闽镜新闻欣赏,http://rihou.cc:555/tv/[Hk]闽镜新闻
闽壹新闻欣赏,http://rihou.cc:555/tv/[Hk]闽壹新闻
tvbS闽南欣赏,http://rihou.cc:555/tv/[Hv]tvbS闽南
凤凰中文欣赏,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯欣赏,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港欣赏,http://rihou.cc:555/tv/[Pd]凤凰香港

特闽电影,#genre#
重温经典欣赏,http://rihou.cc:555/tv/[Pd]重温经典
邵氏电影欣赏,http://rihou.cc:555/tv/[FY]邵氏电影
邵氏武侠欣赏,http://rihou.cc:555/tv/[FY]邵氏武侠
邵氏动作欣赏,http://rihou.cc:555/tv/[FY]邵氏动作
邵氏喜剧欣赏,http://rihou.cc:555/tv/[FY]邵氏喜剧

特区资讯,#genre#
Plus综合欣赏,http://rihou.cc:555/tv/[Pd]Plus综合
有线综合欣赏,http://rihou.cc:555/tv/[Pd]有线综合
无线华丽粤赏,http://rihou.cc:555/tv/[Pd]无线华丽
无线华丽国赏,http://rihou.cc:555/tv/[FY]无线华丽
无线星河粤赏,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫粤赏,http://rihou.cc:555/tv/[Pd]无线功夫

粤区资讯,#genre#
广东珠江欣赏,http://rihou.cc:555/tv/[At|]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[Cx]广东珠江
广东体育欣赏,http://rihou.cc:555/tv/[At|]广东体育
广州综合欣赏,http://rihou.cc:555/tv/[Cx]广州综合
广州新闻欣赏,http://rihou.cc:555/tv/[Cx]广州新闻
广州南国欣赏,http://rihou.cc:555/tv/[Cx]广州南国

欣赏电影频道,#genre#
凤凰电影频道,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视频道,http://xhyx.gz.cn:1698/hls/35/index.m3u8
亚洲卫视频道,http://rihou.cc:555/tv/NTD
香港卫视频道,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港C+_-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
环球电视频道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
澳门莲花频道,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
番薯综合频道,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐频道,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
非凡新闻频道,rtmp://f13h.mine.nu/sat/tv581
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
纬来育乐频道,rtmp://f13h.mine.nu/sat/tv701
纬来日本频道,rtmp://f13h.mine.nu/sat/tv771
纬来体育频道,rtmp://f13h.mine.nu/sat/tv721
DAZN-体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN-体育贰,rtmp://f13h.mine.nu/sat/tv741
momo'tv频道,rtmp://f13h.mine.nu/sat/tv761
WWE_格斗高,http://plus.newdns.world:8080/OduLarge/UtKalQ6Vc7/7544
新视觉hd频道,http://120.76.248.139/live/bfgd/4200000249.m3u8             
第一滴血全集,http://8.155.43.98:35455/yy/1354932355
速度与激情集,http://8.155.43.98:35455/yy/1382736911
美剧解说轮播,http://8.155.43.98:35455/douyu/9643264
经典美剧解说,http://8.155.43.98:35455/douyu/9123570
96笑傲江湖粤,http://8.155.43.98:35455/douyu/8912325
83射雕英雄传,http://8.155.43.98:35455/yy/1354210357
95神雕侠侣粤,http://8.155.43.98:35455/yy/1354926637
87经典红楼梦,http://8.155.43.98:35455/yy/1382745084
新白娘子轮播,http://8.155.43.98:35455/yy/1354930969
仙剑奇侠传剧,http://8.155.43.98:35455/yy/1382749903
鹊刀门传奇剧,http://8.155.43.98:35455/yy/1355344777
我的体育老师,http://8.155.43.98:35455/yy/1382745169
如果岁月轮播,http://8.155.43.98:35455/yy/1382736883
流金岁月轮播,http://8.155.43.98:35455/yy/1382749906
我的前半生剧,http://8.155.43.98:35455/yy/1382735564
伪装者电视剧,http://8.155.43.98:35455/yy/1354936244
火蓝刀锋轮播,http://8.155.43.98:35455/yy/1382737892
二炮手电视剧,http://8.155.43.98:35455/yy/1354930964
风筝电视轮播,http://8.155.43.98:35455/yy/1354931585
武林外传轮播,http://8.155.43.98:35455/yy/1355652820
科幻Fans轮播,http://8.155.43.98:35455/douyu/3508304
科幻解说轮播,http://8.155.43.98:35455/douyu/9338839
娱乐扒叔轮播,http://8.155.43.98:35455/douyu/9624581
重温经典频道,http://120.76.248.139/live/bfgd/4200000635.m3u8
邵氏影院频视,http://8.155.43.98:35455/douyu/4246519

网页音乐,#genre#
音乐库仓抖播,http://rihou.cc:555/tv/音乐库仓抖28
音乐仓库抖播,http://rihou.cc:555/tv/音乐仓库抖28
翡翠音乐抖播,video://http://rihou.cc:555/tv/网页翡翠

刘德华演唱会,#genre#
今日演唱会上,http://rihou.cc:555/tv/[mv]今日演上
今日演唱会中,http://rihou.cc:555/tv/[mv]今日演中
今日演唱会下,http://rihou.cc:555/tv/[mv]今日演下
抖精彩片段一,http://rihou.cc:555/tv/[mv]精彩片一
抖精彩片段二,http://rihou.cc:555/tv/[mv]精彩片二
今天演唱会一,http://rihou.cc:555/tv/[mv]今日演一
今天演唱会二,http://rihou.cc:555/tv/[mv]今日演二
今天演唱会三,http://rihou.cc:555/tv/[mv]今日演三
今天演唱会四,http://rihou.cc:555/tv/[mv]今日演四

特闽FYtv,#genre#
澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
有线新闻,http://iptv.4666888.xyz/iptv2A.php?id=31
无线翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
无线华丽,http://iptv.4666888.xyz/iptv2A.php?id=28
无线明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
无线娱乐,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧,http://iptv.4666888.xyz/iptv2A.php?id=22
无线1_美,http://iptv.4666888.xyz/iptv2A.php?id=25
无线J1美,http://iptv.4666888.xyz/iptv2A.php?id=26
无线翡剧,http://iptv.4666888.xyz/iptv2A.php?id=33
有线综合,http://iptv.4666888.xyz/iptv2A.php?id=35
美亚电影,http://iptv.4666888.xyz/iptv2A.php?id=30
RTHK-31,http://iptv.4666888.xyz/iptv2A.php?id=23
tvbs新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
纬来电影,http://iptv.4666888.xyz/iptv2A.php?id=40
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
民视闽南,http://iptv.4666888.xyz/iptv2A.php?id=55
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
中视经典,http://iptv.4666888.xyz/iptv2A.php?id=54
非凡商业,http://iptv.4666888.xyz/iptv2A.php?id=44
华艺中文,http://iptv.4666888.xyz/iptv2A.php?id=37
博运动壹,http://iptv.4666888.xyz/iptv2A.php?id=6
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
爱奇艺综,http://iptv.4666888.xyz/iptv2A.php?id=21
JET-综合,http://iptv.4666888.xyz/iptv2A.php?id=51
ELta综合,http://iptv.4666888.xyz/iptv2A.php?id=49
rock娱乐,http://iptv.4666888.xyz/iptv2A.php?id=50
EYE-戏剧,http://iptv.4666888.xyz/iptv2A.php?id=56
wwe格斗,http://iptv.4666888.xyz/iptv2A.php?id=5
SPOTV-1,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV-2,http://iptv.4666888.xyz/iptv2A.php?id=1
Football-,http://iptv.4666888.xyz/iptv2A.php?id=4
Sports-3',http://iptv.4666888.xyz/iptv2A.php?id=3
CCTV-01,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-02,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-03,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-04,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV-13,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV-14,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-16,http://iptv.4666888.xyz/iptv2A.php?id=32
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17

荔枝网页,#genre#
CCTV1,video://https://www.yangshipin.cn/tv/home?pid=600001859
广东卫视4k页,video://https://www.gdtv.cn/tvChannelDetail/110
广东4k超网页,video://https://www.gdtv.cn/tvChannelDetail/16
广东卫视,video://https://www.gdtv.cn/tvChannelDetail/43
广东珠江网页,video://https://www.gdtv.cn/tvChannelDetail/44
广东新闻网页,video://https://www.gdtv.cn/tvChannelDetail/45
广东民生网页,video://https://www.gdtv.cn/tvChannelDetail/48
广东体育网页,video://https://www.gdtv.cn/tvChannelDetail/47
广东湾区网页,video://https://www.gdtv.cn/tvChannelDetail/51
广东湾区海页,video://https://www.gdtv.cn/tvChannelDetail/46
广东影视,video://https://www.gdtv.cn/tvChannelDetail/53
广东少儿网页,video://https://www.gdtv.cn/tvChannelDetail/54
广东戏曲网页,video://https://www.gdtv.cn/tvChannelDetail/54
广东移动网页,video://https://www.gdtv.cn/tvChannelDetail/74
广东经典网页,video://https://www.gdtv.cn/tvChannelDetail/100
广东记录网页,video://https://www.gdtv.cn/tvChannelDetail/94
健康频道网页,video://https://www.gdtv.cn/tvChannelDetail/99
文化频道网页,video://https://www.gdtv.cn/tvChannelDetail/75
生活频道网页,video://https://www.gdtv.cn/tvChannelDetail/102
嘉佳卡通网页,video://https://www.gdtv.cn/tvChannelDetail/66
南方购物网页,video://https://www.gdtv.cn/tvChannelDetail/42
开平综合网页,video://https://web.guangdianyun.tv/tv/?id=1434&uin=1132
开平生活网页,video://https://web.guangdianyun.tv/tv/?id=1435&uin=1132
深圳卫视4K,video://https://www.sztv.com.cn/dianshi.shtml?id=24725
深圳卫视,video://https://www.sztv.com.cn/pindao/index.html?liveld=AxeFRth
深圳都市,video://https://www.sztv.com.cn/dianshi.shtml?id=7868
深圳电视剧,video://https://www.sztv.com.cn/dianshi.shtml?id=7880
深圳少儿,video://https://www.sztv.com.cn/dianshi.shtml?id=7881
深圳移动,video://https://www.sztv.com.cn/dianshi.shtml?id=7869
深圳宜和购物,video://https://www.sztv.com.cn/dianshi.shtml?id=7878
深圳国际网页,video://https://www.sztv.com.cn/pindao/index.html?id=7944
江门综合网页,video://http://www.jmtv.cn/live/jm_live_h5.shtml?pid=2
江门侨乡网页,video://http://www.jmtv.cn/live/jm_live_h5.shtml?pid=1
东莞新闻网页,video://https://dgrtv.sun0769.com/index.php/online2/4
东莞生活网页,video://https://dgrtv.sun0769.com/index.php/online2/5
河源综合网页,video://https://www.hyrtv.cn/itv/zhds/
河源公共网页,video://https://www.hyrtv.cn/itv/ggds/
清远新闻网页,video://https://h5.qyrb.cn/h5/nfzmy-television-and-radio/#/?channelId=1
清远文旅网页,video://https://h5.qyrb.cn/h5/nfzmy-television-and-radio/#/?channelId=3
韶关综合网页,video://https://www.sgmsw.cn/v/tv?spm=0.0.0.0.nRYAvk&id=SB05RIYZOU8JR418AUQOF62CAJQ08D0E
肇庆综合网页,video://https://zqh5.xjrb.com/h5/nfzmy-television-and-radio/#/?channelId=33
肇庆生活网页,video://https://zqh5.xjrb.com/h5/nfzmy-television-and-radio/#/?channelId=34
云浮综合网页,video://https://static.yft.ndoe.cn/hd/ysx/#/?channelType=0&channelId=8
云浮文旅网页,video://https://static.yft.ndoe.cn/hd/ysx/#/?channelType=0&channelId=9
信宜综合网页,video://https://web.guangdianyun.tv/tv/?id=643&uin=1629
阳江综壹网页,video://https://live.yjtvw.com:8081/live/yjtv1.m3u8    
阳江综贰网页,video://https://live.yjtvw.com:8081/live/yjtv2.m3u8

虎牙频道,#genre#
放映厅播频道,http://120.220.76.91:2003/huya.php?id=11602077
刘德华播频道,http://120.220.76.91:2003/huya.php?id=11342424
许冠英播频道,http://120.220.76.91:2003/huya.php?id=11601972
李连杰播频道,http://120.220.76.91:2003/huya.php?id=11342390
甄子丹播频道,http://120.220.76.91:2003/huya.php?id=11352935
周润发播频道,http://120.220.76.91:2003/huya.php?id=11342387
周星星播频道,http://120.220.76.91:2003/huya.php?id=11336587
洪金宝播频道,http://120.220.76.91:2003/huya.php?id=11279251
梁家辉播频道,http://120.220.76.91:2003/huya.php?id=11342429
洪金宝播频道,http://120.220.76.91:2003/huya.php?id=11279251
五福星播频道,http://120.220.76.91:2003/huya.php?id=11282233
古天乐播频道,http://120.220.76.91:2003/huya.php?id=11602041
邱淑贞播频道,http://120.220.76.91:2003/huya.php?id=11352949
周海媚播频道,http://120.220.76.91:2003/huya.php?id=11279247
星爷虎牙频道,http://120.220.76.91:2003/huya.php?id=11342412
英叔虎牙频道,http://120.220.76.91:2003/huya.php?id=11342421
成龙虎牙频道,http://120.220.76.91:2003/huya.php?id=11342386
王晶虎牙频道,http://120.220.76.91:2003/huya.php?id=11602058
沈腾虎牙频道,http://120.220.76.91:2003/huya.php?id=11601968
黄渤虎牙频道,http://120.220.76.91:2003/huya.php?id=11352876
吴京虎牙频道,http://120.220.76.91:2003/huya.php?id=11602041
强森虎牙频道,http://120.220.76.91:2003/huya.php?id=21059581
玄幻虎牙频道,http://120.220.76.91:2003/huya.php?id=11342414
喜剧虎牙频道,http://120.220.76.91:2003/huya.php?id=11352877
港片虎牙频道,http://120.220.76.91:2003/huya.php?id=11602043
国产虎牙频道,http://120.220.76.91:2003/huya.php?id=11352973
漫威虎牙频道,http://120.220.76.91:2003/huya.php?id=11602034
宇宙虎牙频道,http://120.220.76.91:2003/huya.php?id=11342428
怪兽虎牙频道,http://120.220.76.91:2003/huya.php?id=21059577
武侠虎牙频道,http://120.220.76.91:2003/huya.php?id=11342427
警匪虎牙频道,http://120.220.76.91:2003/huya.php?id=11352886
罪犯虎牙频道,http://120.220.76.91:2003/huya.php?id=11352962
枪战虎牙频道,http://120.220.76.91:2003/huya.php?id=21059579
盗墓虎牙频道,http://120.220.76.91:2003/huya.php?id=21059552
海盗虎牙频道,http://120.220.76.91:2003/huya.php?id=21059595
推荐虎牙频道,http://120.220.76.91:2003/huya.php?id=11602041
救援虎牙频道,http://120.220.76.91:2003/huya.php?id=21059594
热血虎牙频道,http://120.220.76.91:2003/huya.php?id=11352934
谍战虎牙频道,http://120.220.76.91:2003/huya.php?id=21059585
战争虎牙频道,http://120.220.76.91:2003/huya.php?id=21059592
小鬼头播频道,http://120.220.76.91:2003/huya.php?id=11352963
陈翔六点频道,http://120.220.76.91:2003/huya.php?id=11274154
喜剧专场频道,http://120.220.76.91:2003/huya.php?id=11602044
高分动作频道,http://120.220.76.91:2003/huya.php?id=11352884
不挤影院频道,http://120.220.76.91:2003/huya.php?id=11352897
黑帮斗争频道,http://120.220.76.91:2003/huya.php?id=11342419
嫣然影厅频道,http://120.220.76.91:2003/huya.php?id=11601977
女神系列频道,http://120.220.76.91:2003/huya.php?id=11336571
经典女神频道,http://120.220.76.91:2003/huya.php?id=11352909
许氏三杰频道,http://120.220.76.91:2003/huya.php?id=11602033
经典港片频道,http://120.220.76.91:2003/huya.php?id=11352965
镖行天下频道,http://120.220.76.91:2003/huya.php?id=11352969
蘑菇影厅频道,http://120.220.76.91:2003/huya.php?id=11601981
搞笑恐怖频道,http://120.220.76.91:2003/huya.php?id=11601960
死神来了频道,http://120.220.76.91:2003/huya.php?id=11352903
超异能族频道,http://120.220.76.91:2003/huya.php?id=21059586
古墓系列频道,http://120.220.76.91:2003/huya.php?id=11352913
动作电影频道,http://120.220.76.91:2003/huya.php?id=11602077
搞笑喜剧频道,http://120.220.76.91:2003/huya.php?id=11342423
欢笑影院频道,http://120.220.76.91:2003/huya.php?id=11352894
国产悬疑频道,http://120.220.76.91:2003/huya.php?id=11342395
快意江湖频道,http://120.220.76.91:2003/huya.php?id=11342435
喜乐影院频道,http://120.220.76.91:2003/huya.php?id=21059580
怪兽系列频道,http://120.220.76.91:2003/huya.php?id=21059554
杰森斯坦频道,http://120.220.76.91:2003/huya.php?id=21059588
寻秦记播频道,http://120.220.76.91:2003/huya.php?id=29465848
寻秦记播频道,http://120.220.76.91:2003/huya.php?id=29633850
西游记播频道,http://120.220.76.91:2003/huya.php?id=29465859
扫黄先锋频道,http://120.220.76.91:2003/huya.php?id=29465855
楚汉骄雄频道,http://120.220.76.91:2003/huya.php?id=29465854
陀枪师姐频道,http://120.220.76.91:2003/huya.php?id=29465857
法证先锋频道,http://120.220.76.91:2003/huya.php?id=29465861
刑事侦缉频道,http://120.220.76.91:2003/huya.php?id=29465856
笑看风云频道,http://120.220.76.91:2003/huya.php?id=29465858
大唐双龙频道,http://120.220.76.91:2003/huya.php?id=29465850
洗冤录播频道,http://120.220.76.91:2003/huya.php?id=29465851
金枝欲孽频道,http://120.220.76.91:2003/huya.php?id=29465847
